cell quad (fq1) -> results/runs/quad_fq1.json | workloads ['mix_het', 'mix_hom'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-fq1-s0] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s1] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s1] round 15 | D47 | ipc=1.0908 | best 1.0908 | forest | 188 min
[bo-fq1-s1] round 15 | D48 | ipc=1.0648 | best 1.0908 | forest | 188 min
[bo-fq1-s0] round 16 | D49 | ipc=0.9659 | best 1.0875 | forest | 196 min
[bo-fq1-s0] round 16 | D50 | ipc=1.0170 | best 1.0875 | forest | 196 min
[bo-fq1-s0] round 16 | D51 | ipc=1.0857 | best 1.0875 | forest | 196 min
[bo-fq1-s0] round 17 | D52 | ipc=0.9171 | best 1.0875 | forest | 199 min
[bo-fq1-s0] round 17 | D53 | ipc=1.0828 | best 1.0875 | forest | 199 min
[bo-fq1-s0] round 17 | D54 | ipc=0.7083 | best 1.0875 | forest | 199 min
[bo-fq1-s1] round 16 | D49 | ipc=0.8827 | best 1.0908 | forest | 199 min
[bo-fq1-s1] round 16 | D50 | ipc=1.0724 | best 1.0908 | forest | 199 min
[bo-fq1-s1] round 16 | D51 | ipc=1.0660 | best 1.0908 | forest | 199 min
[bo-fq1-s0] round 18 | D55 | ipc=1.0676 | best 1.0875 | forest | 211 min
[bo-fq1-s0] round 18 | D56 | ipc=1.0120 | best 1.0875 | forest | 211 min
[bo-fq1-s0] round 18 | D57 | ipc=0.9337 | best 1.0875 | forest | 211 min
[bo-fq1-s1] round 17 | D52 | ipc=1.0382 | best 1.0908 | forest | 214 min
[bo-fq1-s1] round 17 | D53 | ipc=1.0855 | best 1.0908 | forest | 214 min
[bo-fq1-s1] round 17 | D54 | ipc=1.0794 | best 1.0908 | forest | 214 min
[bo-fq1-s0] round 19 | D58 | ipc=1.0133 | best 1.0875 | forest | 221 min
[bo-fq1-s0] round 19 | D59 | ipc=1.0455 | best 1.0875 | forest | 221 min
[bo-fq1-s0] round 19 | D60 | ipc=1.0890 | best 1.0890 | forest | 221 min
[bo-fq1-s1] round 18 | D55 | ipc=1.0855 | best 1.0908 | forest | 224 min
[bo-fq1-s1] round 18 | D56 | ipc=0.8849 | best 1.0908 | forest | 224 min
[bo-fq1-s1] round 18 | D57 | ipc=1.0895 | best 1.0908 | forest | 224 min
[bo-fq1-s0] round 20 | D61 | ipc=1.0721 | best 1.0890 | forest | 230 min
[bo-fq1-s0] round 20 | D62 | ipc=0.9233 | best 1.0890 | forest | 230 min
[bo-fq1-s0] round 20 | D63 | ipc=0.9251 | best 1.0890 | forest | 230 min
[bo-fq1-s1] round 19 | D58 | ipc=1.0878 | best 1.0908 | forest | 234 min
[bo-fq1-s1] round 19 | D59 | ipc=1.0892 | best 1.0908 | forest | 234 min
[bo-fq1-s1] round 19 | D60 | ipc=1.0816 | best 1.0908 | forest | 234 min
[bo-fq1-s0] round 21 | D64 | ipc=1.0517 | best 1.0890 | forest | 244 min
[bo-fq1-s0] round 21 | D65 | ipc=1.0675 | best 1.0890 | forest | 244 min
[bo-fq1-s0] round 21 | D66 | ipc=1.0792 | best 1.0890 | forest | 244 min
[bo-fq1-s1] round 20 | D61 | ipc=1.0822 | best 1.0908 | forest | 246 min
[bo-fq1-s1] round 20 | D62 | ipc=1.0870 | best 1.0908 | forest | 246 min
[bo-fq1-s1] round 20 | D63 | ipc=1.0850 | best 1.0908 | forest | 246 min
[bo-fq1-s0] round 22 | D67 | ipc=1.0200 | best 1.0890 | forest | 258 min
[bo-fq1-s0] round 22 | D68 | ipc=0.9407 | best 1.0890 | forest | 258 min
[bo-fq1-s0] round 22 | D69 | ipc=1.0827 | best 1.0890 | forest | 258 min
[bo-fq1-s1] round 21 | D64 | ipc=1.0868 | best 1.0908 | forest | 259 min
[bo-fq1-s1] round 21 | D65 | ipc=1.0943 | best 1.0943 | forest | 259 min
[bo-fq1-s1] round 21 | D66 | ipc=1.0789 | best 1.0943 | forest | 259 min
[bo-fq1-s0] round 23 | D70 | ipc=1.0780 | best 1.0890 | forest | 269 min
[bo-fq1-s0] round 23 | D71 | ipc=1.0519 | best 1.0890 | forest | 269 min
[bo-fq1-s0] round 23 | D72 | ipc=0.9544 | best 1.0890 | forest | 269 min
[bo-fq1-s1] round 22 | D67 | ipc=1.0862 | best 1.0943 | forest | 271 min
[bo-fq1-s1] round 22 | D68 | ipc=1.0929 | best 1.0943 | forest | 271 min
[bo-fq1-s1] round 22 | D69 | ipc=1.0812 | best 1.0943 | forest | 271 min
[bo-fq1-s0] round 24 | D73 | ipc=1.0861 | best 1.0890 | forest | 279 min
[bo-fq1-s0] round 24 | D74 | ipc=1.0867 | best 1.0890 | forest | 279 min
