cell aiml (mf1) -> results/runs/aiml_mf1.json | workloads ['llama2.c-llama2_7b.1', 'stable-diffusion.cpp-v1-5-pruned-emaonly.1', 'clip_trace_1'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-mf1-s1] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] round 26 | D80 | ipc=1.1752 | best 1.2287 | forest | 37 min
[bo-mf1-s0] round 26 | D81 | ipc=1.2200 | best 1.2287 | forest | 37 min
[bo-mf1-s1] round 13 | D40 | ipc=1.1737 | best 1.1896 | forest | 39 min
[bo-mf1-s1] round 13 | D41 | ipc=1.1861 | best 1.1896 | forest | 39 min
[bo-mf1-s1] round 13 | D42 | ipc=1.1783 | best 1.1896 | forest | 39 min
[bo-mf1-s0] round 27 | D82 | ipc=1.2271 | best 1.2287 | forest | 40 min
[bo-mf1-s0] round 27 | D83 | ipc=1.1521 | best 1.2287 | forest | 40 min
[bo-mf1-s0] round 27 | D84 | ipc=1.2324 | best 1.2324 | forest | 40 min
[bo-mf1-s1] round 14 | D43 | ipc=1.1699 | best 1.1896 | forest | 41 min
[bo-mf1-s1] round 14 | D44 | ipc=1.0702 | best 1.1896 | forest | 41 min
[bo-mf1-s1] round 14 | D45 | ipc=1.1683 | best 1.1896 | forest | 41 min
[bo-mf1-s1] round 15 | D46 | ipc=1.1134 | best 1.1896 | forest | 42 min
[bo-mf1-s1] round 15 | D47 | ipc=1.0684 | best 1.1896 | forest | 42 min
[bo-mf1-s1] round 15 | D48 | ipc=1.1762 | best 1.1896 | forest | 42 min
[bo-mf1-s0] round 28 | D85 | ipc=1.1422 | best 1.2324 | forest | 42 min
[bo-mf1-s0] round 28 | D86 | ipc=1.2324 | best 1.2324 | forest | 42 min
[bo-mf1-s0] round 28 | D87 | ipc=1.2107 | best 1.2324 | forest | 42 min
[bo-mf1-s1] round 16 | D49 | ipc=1.1171 | best 1.1896 | forest | 44 min
[bo-mf1-s1] round 16 | D50 | ipc=1.1906 | best 1.1906 | forest | 44 min
[bo-mf1-s1] round 16 | D51 | ipc=1.1678 | best 1.1906 | forest | 44 min
[bo-mf1-s0] round 29 | D88 | ipc=1.1615 | best 1.2324 | forest | 45 min
[bo-mf1-s0] round 29 | D89 | ipc=1.1536 | best 1.2324 | forest | 45 min
[bo-mf1-s0] round 29 | D90 | ipc=1.1477 | best 1.2324 | forest | 45 min
[bo-mf1-s1] round 17 | D52 | ipc=1.1832 | best 1.1906 | forest | 47 min
[bo-mf1-s1] round 17 | D53 | ipc=1.1743 | best 1.1906 | forest | 47 min
[bo-mf1-s1] round 17 | D54 | ipc=1.1894 | best 1.1906 | forest | 47 min
[bo-mf1-s1] round 18 | D55 | ipc=1.1726 | best 1.1906 | forest | 47 min
[bo-mf1-s1] round 18 | D56 | ipc=1.1726 | best 1.1906 | forest | 47 min
[bo-mf1-s1] round 18 | D57 | ipc=1.0027 | best 1.1906 | forest | 47 min
[bo-mf1-s0] round 30 | D91 | ipc=1.1578 | best 1.2324 | forest | 47 min
[bo-mf1-s0] round 30 | D92 | ipc=1.2324 | best 1.2324 | forest | 47 min
[bo-mf1-s0] round 30 | D93 | ipc=1.1290 | best 1.2324 | forest | 47 min
[bo-mf1-s1] round 19 | D58 | ipc=1.1518 | best 1.1906 | forest | 48 min
[bo-mf1-s1] round 19 | D59 | ipc=1.1794 | best 1.1906 | forest | 48 min
[bo-mf1-s1] round 19 | D60 | ipc=1.0466 | best 1.1906 | forest | 48 min
[bo-mf1-s0] round 31 | D94 | ipc=1.1305 | best 1.2324 | forest | 50 min
[bo-mf1-s0] round 31 | D95 | ipc=1.0505 | best 1.2324 | forest | 50 min
[bo-mf1-s0] round 31 | D96 | ipc=1.1177 | best 1.2324 | forest | 50 min
[bo-mf1-s1] round 20 | D61 | ipc=1.1568 | best 1.1906 | forest | 50 min
[bo-mf1-s1] round 20 | D62 | ipc=1.1837 | best 1.1906 | forest | 50 min
[bo-mf1-s1] round 20 | D63 | ipc=1.1907 | best 1.1907 | forest | 50 min
[bo-mf1-s1] round 21 | D64 | ipc=1.1893 | best 1.1907 | forest | 51 min
[bo-mf1-s1] round 21 | D65 | ipc=1.1471 | best 1.1907 | forest | 51 min
[bo-mf1-s1] round 21 | D66 | ipc=1.1900 | best 1.1907 | forest | 51 min
[bo-mf1-s1] round 22 | D67 | ipc=1.1866 | best 1.1907 | forest | 51 min
[bo-mf1-s1] round 22 | D68 | ipc=1.0547 | best 1.1907 | forest | 51 min
[bo-mf1-s1] round 22 | D69 | ipc=1.1809 | best 1.1907 | forest | 51 min
[bo-mf1-s1] round 23 | D70 | ipc=1.1987 | best 1.1987 | forest | 52 min
[bo-mf1-s1] round 23 | D71 | ipc=1.1930 | best 1.1987 | forest | 52 min
[bo-mf1-s1] round 23 | D72 | ipc=1.1186 | best 1.1987 | forest | 52 min
[bo-mf1-s0] round 32 | D97 | ipc=1.1835 | best 1.2324 | forest | 52 min
[bo-mf1-s0] round 32 | D98 | ipc=1.2230 | best 1.2324 | forest | 52 min
[bo-mf1-s0] round 32 | D99 | ipc=1.1450 | best 1.2324 | forest | 52 min
[bo-mf1-s1] round 24 | D73 | ipc=1.2022 | best 1.2022 | forest | 54 min
[bo-mf1-s1] round 24 | D74 | ipc=1.1558 | best 1.2022 | forest | 54 min
[bo-mf1-s1] round 24 | D75 | ipc=1.1987 | best 1.2022 | forest | 54 min
[bo-mf1-s1] round 25 | D76 | ipc=1.2128 | best 1.2128 | forest | 55 min
[bo-mf1-s1] round 25 | D77 | ipc=1.1984 | best 1.2128 | forest | 55 min
[bo-mf1-s1] round 25 | D78 | ipc=1.2021 | best 1.2128 | forest | 55 min
[bo-mf1-s0] round 33 | D100 | ipc=1.1814 | best 1.2324 | forest | 55 min
[bo-mf1-s0] round 33 | D101 | ipc=1.2324 | best 1.2324 | forest | 55 min
[bo-mf1-s0] round 33 | D102 | ipc=1.1622 | best 1.2324 | forest | 55 min
[bo-mf1-s1] round 26 | D79 | ipc=1.2130 | best 1.2130 | forest | 55 min
[bo-mf1-s1] round 26 | D80 | ipc=1.2036 | best 1.2130 | forest | 55 min
[bo-mf1-s1] round 26 | D81 | ipc=1.1944 | best 1.2130 | forest | 55 min
[bo-mf1-s0] round 34 | D103 | ipc=1.0697 | best 1.2324 | forest | 56 min
[bo-mf1-s0] round 34 | D104 | ipc=1.0548 | best 1.2324 | forest | 56 min
[bo-mf1-s0] round 34 | D105 | ipc=1.1817 | best 1.2324 | forest | 56 min
[bo-mf1-s0] round 35 | D106 | ipc=1.2242 | best 1.2324 | forest | 56 min
[bo-mf1-s0] round 35 | D107 | ipc=1.1683 | best 1.2324 | forest | 56 min
[bo-mf1-s0] round 35 | D108 | ipc=1.2142 | best 1.2324 | forest | 56 min
[bo-mf1-s0] round 36 | D109 | ipc=1.2230 | best 1.2324 | forest | 57 min
[bo-mf1-s0] round 36 | D110 | ipc=0.9097 | best 1.2324 | forest | 57 min
[bo-mf1-s0] round 36 | D111 | ipc=1.2293 | best 1.2324 | forest | 57 min
[bo-mf1-s1] round 27 | D82 | ipc=1.2072 | best 1.2130 | forest | 58 min
[bo-mf1-s1] round 27 | D83 | ipc=1.2126 | best 1.2130 | forest | 58 min
[bo-mf1-s1] round 27 | D84 | ipc=0.9970 | best 1.2130 | forest | 58 min
[bo-mf1-s1] round 28 | D85 | ipc=1.2081 | best 1.2130 | forest | 58 min
[bo-mf1-s1] round 28 | D86 | ipc=1.1422 | best 1.2130 | forest | 58 min
[bo-mf1-s1] round 28 | D87 | ipc=1.2126 | best 1.2130 | forest | 58 min
[bo-mf1-s1] round 29 | D88 | ipc=1.1843 | best 1.2130 | forest | 59 min
[bo-mf1-s1] round 29 | D89 | ipc=1.2152 | best 1.2152 | forest | 59 min
[bo-mf1-s1] round 29 | D90 | ipc=1.1520 | best 1.2152 | forest | 59 min
[bo-mf1-s0] round 37 | D112 | ipc=1.1284 | best 1.2324 | forest | 59 min
[bo-mf1-s0] round 37 | D113 | ipc=1.1204 | best 1.2324 | forest | 59 min
[bo-mf1-s0] round 37 | D114 | ipc=1.1546 | best 1.2324 | forest | 59 min
[bo-mf1-s1] round 30 | D91 | ipc=1.1945 | best 1.2152 | forest | 59 min
[bo-mf1-s1] round 30 | D92 | ipc=1.1421 | best 1.2152 | forest | 59 min
[bo-mf1-s1] round 30 | D93 | ipc=1.1878 | best 1.2152 | forest | 59 min
[bo-mf1-s0] round 38 | D115 | ipc=1.2147 | best 1.2324 | forest | 62 min
[bo-mf1-s0] round 38 | D116 | ipc=1.1543 | best 1.2324 | forest | 62 min
[bo-mf1-s0] round 38 | D117 | ipc=0.9486 | best 1.2324 | forest | 62 min
[bo-mf1-s1] round 31 | D94 | ipc=1.1819 | best 1.2152 | forest | 62 min
[bo-mf1-s1] round 31 | D95 | ipc=1.1743 | best 1.2152 | forest | 62 min
[bo-mf1-s1] round 31 | D96 | ipc=1.1924 | best 1.2152 | forest | 62 min
[bo-mf1-s1] round 32 | D97 | ipc=1.1382 | best 1.2152 | forest | 62 min
[bo-mf1-s1] round 32 | D98 | ipc=1.0865 | best 1.2152 | forest | 62 min
[bo-mf1-s1] round 32 | D99 | ipc=1.0616 | best 1.2152 | forest | 62 min
[bo-mf1-s1] round 33 | D100 | ipc=1.2066 | best 1.2152 | forest | 63 min
[bo-mf1-s1] round 33 | D101 | ipc=1.1304 | best 1.2152 | forest | 63 min
[bo-mf1-s1] round 33 | D102 | ipc=1.2136 | best 1.2152 | forest | 63 min
[bo-mf1-s0] round 39 | D118 | ipc=1.1601 | best 1.2324 | forest | 64 min
[bo-mf1-s0] round 39 | D119 | ipc=1.0708 | best 1.2324 | forest | 64 min
[bo-mf1-s0] round 39 | D120 | ipc=1.1153 | best 1.2324 | forest | 64 min
[bo-mf1-s0] round 40 | D121 | ipc=1.2330 | best 1.2330 | forest | 65 min
[bo-mf1-s0] round 40 | D122 | ipc=1.1652 | best 1.2330 | forest | 65 min
[bo-mf1-s0] round 40 | D123 | ipc=1.2272 | best 1.2330 | forest | 65 min
[bo-mf1-s0] round 41 | D124 | ipc=1.2330 | best 1.2330 | forest | 65 min
[bo-mf1-s0] round 41 | D125 | ipc=1.2324 | best 1.2330 | forest | 65 min
[bo-mf1-s0] round 41 | D126 | ipc=1.2287 | best 1.2330 | forest | 65 min
[bo-mf1-s1] round 34 | D103 | ipc=1.1522 | best 1.2152 | forest | 65 min
[bo-mf1-s1] round 34 | D104 | ipc=1.1969 | best 1.2152 | forest | 65 min
[bo-mf1-s1] round 34 | D105 | ipc=1.1235 | best 1.2152 | forest | 65 min
