cell gen (g3r) -> results/runs/next_gen_g3r.json | workloads ['llama2.c-llama2_7b.1', 'whiskey_0000'] | arms ['random'] | seeds 0..1 | 375 designs per run
[next-random-g3r-s0] round 67 | 335 designs | best 0.9450 | 77 min
[next-random-g3r-s0] round 68 | 340 designs | best 0.9450 | 79 min
[next-random-g3r-s1] round 70 | 350 designs | best 0.9547 | 79 min
[next-random-g3r-s0] round 69 | 345 designs | best 0.9450 | 81 min
[next-random-g3r-s1] round 71 | 355 designs | best 0.9547 | 81 min
[next-random-g3r-s0] round 70 | 350 designs | best 0.9450 | 81 min
[next-random-g3r-s0] round 71 | 355 designs | best 0.9450 | 82 min
[next-random-g3r-s1] round 72 | 360 designs | best 0.9547 | 83 min
[next-random-g3r-s0] round 72 | 360 designs | best 0.9450 | 84 min
[next-random-g3r-s0] round 73 | 365 designs | best 0.9450 | 85 min
[next-random-g3r-s1] round 73 | 365 designs | best 0.9547 | 85 min
[next-random-g3r-s0] round 74 | 370 designs | best 0.9450 | 86 min
[next-random-g3r-s1] round 74 | 370 designs | best 0.9547 | 87 min
[next-random-g3r-s0] round 75 | 375 designs | best 0.9450 | 88 min
== random seed 0: best 0.9450 over 375 designs
[next-random-g3r-s1] round 75 | 375 designs | best 0.9547 | 89 min
== random seed 1: best 0.9547 over 375 designs
done in 1.5 h, 0 failed
